SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Increased forgetting-rate for a bandit', 'Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 25
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 0 | Reward: 0.750000
Steps Taken: 1 | Time Diff: 5.14
Acton: 0 | Reward: -0.250000
Steps Taken: 2 | Time Diff: 10.29
Acton: 0 | Reward: 0.750000
Steps Taken: 3 | Time Diff: 15.43
Acton: 0 | Reward: -0.250000
Steps Taken: 4 | Time Diff: 20.57
Acton: 0 | Reward: 0.750000
Steps Taken: 5 | Time Diff: 25.72
Acton: 0 | Reward: -0.250000
Steps Taken: 6 | Time Diff: 30.86
Acton: 0 | Reward: -0.250000
Steps Taken: 7 | Time Diff: 36.01
Acton: 0 | Reward: 0.750000
Steps Taken: 8 | Time Diff: 41.15
Acton: 0 | Reward: 0.750000
Steps Taken: 9 | Time Diff: 46.28
Acton: 0 | Reward: -0.250000
Steps Taken: 10 | Time Diff: 51.44
Acton: 0 | Reward: 0.750000
Steps Taken: 11 | Time Diff: 56.58
Acton: 0 | Reward: 0.750000
Steps Taken: 12 | Time Diff: 61.72
Acton: 0 | Reward: -0.250000
Steps Taken: 13 | Time Diff: 66.86
Acton: 0 | Reward: 0.750000
Steps Taken: 14 | Time Diff: 72.01
Acton: 0 | Reward: 0.750000
Steps Taken: 15 | Time Diff: 77.15
Acton: 0 | Reward: 0.750000
Steps Taken: 16 | Time Diff: 82.29
Acton: 0 | Reward: -0.250000
Steps Taken: 17 | Time Diff: 87.44
Acton: 0 | Reward: -0.250000
Steps Taken: 18 | Time Diff: 92.57
Acton: 0 | Reward: -0.250000
Steps Taken: 19 | Time Diff: 97.7
Acton: 0 | Reward: -0.250000
Steps Taken: 20 | Time Diff: 102.85
Acton: 0 | Reward: 0.750000
Steps Taken: 21 | Time Diff: 107.99
Acton: 0 | Reward: 0.750000
Steps Taken: 22 | Time Diff: 113.13
Acton: 0 | Reward: -0.250000
Steps Taken: 23 | Time Diff: 118.27
Acton: 0 | Reward: 0.750000
Steps Taken: 24 | Time Diff: 123.41
Acton: 0 | Reward: -0.250000
Steps Taken: 25 | Time Diff: 128.55
Acton: 0 | Reward: -0.250000
Steps Taken: 26 | Time Diff: 133.7
Acton: 0 | Reward: 0.750000
Steps Taken: 27 | Time Diff: 138.84
Acton: 0 | Reward: -0.250000
Steps Taken: 28 | Time Diff: 143.98
Acton: 0 | Reward: -0.250000
Steps Taken: 29 | Time Diff: 149.12
Acton: 0 | Reward: 0.750000
Steps Taken: 30 | Time Diff: 154.26
Acton: 0 | Reward: -0.250000
Steps Taken: 31 | Time Diff: 159.41
Acton: 0 | Reward: 0.750000
Steps Taken: 32 | Time Diff: 164.56
Acton: 0 | Reward: -0.250000
Steps Taken: 33 | Time Diff: 169.7
Acton: 0 | Reward: -0.250000
Steps Taken: 34 | Time Diff: 174.84
Acton: 0 | Reward: 0.750000
Steps Taken: 35 | Time Diff: 179.98
Acton: 0 | Reward: 0.750000
Steps Taken: 36 | Time Diff: 185.11
Acton: 0 | Reward: -0.250000
Steps Taken: 37 | Time Diff: 190.25
Acton: 0 | Reward: -0.250000
Steps Taken: 38 | Time Diff: 195.39
Acton: 0 | Reward: 0.750000
Steps Taken: 39 | Time Diff: 200.53
Acton: 0 | Reward: 0.750000
Steps Taken: 40 | Time Diff: 205.66
Acton: 0 | Reward: -0.250000
Steps Taken: 41 | Time Diff: 210.81
Acton: 0 | Reward: 0.750000
Steps Taken: 42 | Time Diff: 215.95
Acton: 0 | Reward: 0.750000
Steps Taken: 43 | Time Diff: 221.09
Acton: 0 | Reward: 0.750000
Steps Taken: 44 | Time Diff: 226.23
Acton: 0 | Reward: 0.750000
Steps Taken: 45 | Time Diff: 231.38
