efSSIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Over generalize action outcome', 'Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']c
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 25
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 0 | Reward: 1.000000
Steps Taken: 1 | Time Diff: 5.24
Acton: 0 | Reward: -0.000000
Steps Taken: 2 | Time Diff: 10.49
Acton: 0 | Reward: -0.000000
Steps Taken: 3 | Time Diff: 15.71
Acton: 0 | Reward: -0.000000
Steps Taken: 4 | Time Diff: 20.94
Acton: 0 | Reward: 1.000000
Steps Taken: 5 | Time Diff: 26.15
Acton: 0 | Reward: -0.000000
Steps Taken: 6 | Time Diff: 31.37
Acton: 0 | Reward: 1.000000
Steps Taken: 7 | Time Diff: 36.59
Acton: 0 | Reward: -0.000000
Steps Taken: 8 | Time Diff: 41.8
Acton: 0 | Reward: 1.000000
Steps Taken: 9 | Time Diff: 47.04
Acton: 0 | Reward: -0.000000
Steps Taken: 10 | Time Diff: 52.27
Acton: 0 | Reward: -0.000000
Steps Taken: 11 | Time Diff: 57.49
Acton: 0 | Reward: 1.000000
Steps Taken: 12 | Time Diff: 62.72
Acton: 0 | Reward: 1.000000
Steps Taken: 13 | Time Diff: 67.94
Acton: 0 | Reward: 1.000000
Steps Taken: 14 | Time Diff: 73.17
Acton: 0 | Reward: -0.000000
Steps Taken: 15 | Time Diff: 78.4
Acton: 0 | Reward: -0.000000
Steps Taken: 16 | Time Diff: 83.63
Acton: 0 | Reward: 1.000000
Steps Taken: 17 | Time Diff: 88.85
Acton: 0 | Reward: 1.000000
Steps Taken: 18 | Time Diff: 94.08
Acton: 0 | Reward: -0.000000
Steps Taken: 19 | Time Diff: 99.3
Acton: 0 | Reward: 1.000000
Steps Taken: 20 | Time Diff: 104.55
Acton: 0 | Reward: 1.000000
Steps Taken: 21 | Time Diff: 109.78
Acton: 0 | Reward: 1.000000
Steps Taken: 22 | Time Diff: 115.02
Acton: 0 | Reward: -0.000000
Steps Taken: 23 | Time Diff: 120.24
Acton: 0 | Reward: 1.000000
Steps Taken: 24 | Time Diff: 125.48
Acton: 0 | Reward: -0.000000
Steps Taken: 25 | Time Diff: 130.71
Acton: 0 | Reward: 1.000000
Steps Taken: 26 | Time Diff: 135.93
Acton: 0 | Reward: -0.000000
Steps Taken: 27 | Time Diff: 141.16
Acton: 0 | Reward: -0.000000
Steps Taken: 28 | Time Diff: 146.39
Acton: 0 | Reward: 1.000000
Steps Taken: 29 | Time Diff: 151.63
Acton: 0 | Reward: 1.000000
Steps Taken: 30 | Time Diff: 156.85
Acton: 0 | Reward: 1.000000
Steps Taken: 31 | Time Diff: 162.09
Acton: 0 | Reward: 1.000000
Steps Taken: 32 | Time Diff: 167.34
Acton: 0 | Reward: 1.000000
Steps Taken: 33 | Time Diff: 172.56
Acton: 0 | Reward: -0.000000
Steps Taken: 34 | Time Diff: 177.78
Acton: 0 | Reward: 1.000000
Steps Taken: 35 | Time Diff: 183.0
Acton: 0 | Reward: -0.000000
Steps Taken: 36 | Time Diff: 188.25
Acton: 0 | Reward: 1.000000
Steps Taken: 37 | Time Diff: 193.47
Acton: 0 | Reward: -0.000000
Steps Taken: 38 | Time Diff: 198.7
Acton: 0 | Reward: -0.000000
Steps Taken: 39 | Time Diff: 203.94
Acton: 0 | Reward: 1.000000
Steps Taken: 40 | Time Diff: 209.16
Acton: 0 | Reward: -0.000000
Steps Taken: 41 | Time Diff: 214.39
Acton: 0 | Reward: 1.000000
Steps Taken: 42 | Time Diff: 219.62
Acton: 0 | Reward: 1.000000
Steps Taken: 43 | Time Diff: 224.85
Acton: 0 | Reward: -0.000000
Steps Taken: 44 | Time Diff: 230.09
Acton: 0 | Reward: -0.000000
Steps Taken: 45 | Time Diff: 235.33
Acton: 0 | Reward: 1.000000
Steps Taken: 46 | Time Diff: 240.57
Acton: 0 | Reward: 1.000000
Steps Taken: 47 | Time Diff: 245.8
Acton: 0 | Reward: -0.000000
Steps Taken: 48 | Time Diff: 251.04
Acton: 0 | Reward: -0.000000
Steps Taken: 49 | Time Diff: 256.26
Acton: 0 | Reward: -0.000000
Steps Taken: 50 | Time Diff: 261.5
Acton: 0 | Reward: -0.000000
Steps Taken: 1 | Time Diff: 266.73
Acton: 0 | Reward: 1.000000
Steps Taken: 2 | Time Diff: 271.95
Acton: 0 | Reward: 1.000000
Steps Taken: 3 | Time Diff: 277.18
Acton: 0 | Reward: 1.000000
Steps Taken: 4 | Time Diff: 282.44
Acton: 0 | Reward: 1.000000
Steps Taken: 5 | Time Diff: 287.69
Acton: 0 | Reward: 1.000000
Steps Taken: 6 | Time Diff: 292.95
Acton: 0 | Reward: -0.000000
Steps Taken: 7 | Time Diff: 298.2
Acton: 0 | Reward: -0.000000
Steps Taken: 8 | Time Diff: 303.45
Acton: 0 | Reward: -0.000000
Steps Taken: 9 | Time Diff: 308.69
Acton: 0 | Reward: -0.000000
Steps Taken: 10 | Time Diff: 313.95
Acton: 0 | Reward: -0.000000
Steps Taken: 11 | Time Diff: 319.18
Acton: 0 | Reward: -0.000000
Steps Taken: 12 | Time Diff: 324.42
Acton: 0 | Reward: 1.000000
