SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 0 | Reward: -0.150000
Steps Taken: 1 | Time Diff: 4.95
Acton: 0 | Reward: 0.850000
Steps Taken: 2 | Time Diff: 14.27
Acton: 0 | Reward: -0.150000
Steps Taken: 3 | Time Diff: 23.61
Acton: 0 | Reward: 0.850000
Steps Taken: 4 | Time Diff: 32.96
Acton: 0 | Reward: -0.150000
Steps Taken: 5 | Time Diff: 42.31
Acton: 0 | Reward: -0.150000
Steps Taken: 6 | Time Diff: 51.67
Acton: 0 | Reward: 0.850000
Steps Taken: 7 | Time Diff: 61.01
Acton: 0 | Reward: 0.850000
Steps Taken: 8 | Time Diff: 70.37
Acton: 0 | Reward: -0.150000
Steps Taken: 9 | Time Diff: 79.71
Acton: 0 | Reward: -0.150000
Steps Taken: 10 | Time Diff: 89.07
Acton: 0 | Reward: 0.850000
Steps Taken: 11 | Time Diff: 98.43
Acton: 0 | Reward: 0.850000
Steps Taken: 12 | Time Diff: 107.78
Acton: 0 | Reward: -0.150000
Steps Taken: 13 | Time Diff: 117.15
Acton: 0 | Reward: -0.150000
Steps Taken: 14 | Time Diff: 126.52
Acton: 0 | Reward: 0.850000
Steps Taken: 15 | Time Diff: 135.87
Acton: 0 | Reward: -0.150000
Steps Taken: 16 | Time Diff: 145.2
Acton: 0 | Reward: -0.150000
Steps Taken: 17 | Time Diff: 154.57
Acton: 0 | Reward: -0.150000
Steps Taken: 18 | Time Diff: 163.93
Acton: 0 | Reward: -0.150000
Steps Taken: 19 | Time Diff: 173.29
Acton: 0 | Reward: -0.150000
Steps Taken: 20 | Time Diff: 182.67
Acton: 0 | Reward: -0.150000
Steps Taken: 21 | Time Diff: 192.02
Acton: 0 | Reward: -0.150000
Steps Taken: 22 | Time Diff: 201.37
Acton: 0 | Reward: 0.850000
Steps Taken: 23 | Time Diff: 210.74
Acton: 0 | Reward: -0.150000
Steps Taken: 24 | Time Diff: 220.09
Acton: 0 | Reward: -0.150000
Steps Taken: 25 | Time Diff: 229.45
Acton: 0 | Reward: 0.850000
Steps Taken: 26 | Time Diff: 238.78
Acton: 0 | Reward: 0.850000
Steps Taken: 27 | Time Diff: 248.13
Acton: 0 | Reward: 0.850000
Steps Taken: 28 | Time Diff: 257.5
Acton: 0 | Reward: 0.850000
Steps Taken: 29 | Time Diff: 266.87
Acton: 0 | Reward: -0.150000
Steps Taken: 30 | Time Diff: 276.22
Acton: 0 | Reward: -0.150000
Steps Taken: 31 | Time Diff: 285.58
Acton: 0 | Reward: -0.150000
Steps Taken: 32 | Time Diff: 294.94
Acton: 0 | Reward: -0.150000
Steps Taken: 33 | Time Diff: 304.29
Acton: 0 | Reward: 0.850000
Steps Taken: 34 | Time Diff: 313.65
Acton: 0 | Reward: -0.150000
Steps Taken: 35 | Time Diff: 322.99
Acton: 0 | Reward: 0.850000
Steps Taken: 36 | Time Diff: 332.35
Acton: 0 | Reward: 0.850000
Steps Taken: 37 | Time Diff: 341.71
Acton: 0 | Reward: 0.850000
Steps Taken: 38 | Time Diff: 351.06
Acton: 0 | Reward: 0.850000
Steps Taken: 39 | Time Diff: 360.43
Acton: 0 | Reward: 0.850000
Steps Taken: 40 | Time Diff: 369.77
Acton: 0 | Reward: -0.150000
Steps Taken: 41 | Time Diff: 379.14
Acton: 0 | Reward: -0.150000
Steps Taken: 42 | Time Diff: 388.51
Acton: 0 | Reward: 0.850000
Steps Taken: 43 | Time Diff: 397.89
Acton: 0 | Reward: 0.850000
Steps Taken: 44 | Time Diff: 407.25
Acton: 0 | Reward: -0.150000
Steps Taken: 45 | Time Diff: 416.6
Acton: 0 | Reward: 0.850000
Steps Taken: 46 | Time Diff: 425.98
Acton: 0 | Reward: 0.850000
Steps Taken: 47 | Time Diff: 435.33
Acton: 0 | Reward: 0.850000
Steps Taken: 48 | Time Diff: 444.69
Acton: 0 | Reward: -0.150000
Steps Taken: 49 | Time Diff: 454.06
Acton: 0 | Reward: -0.150000
Steps Taken: 50 | Time Diff: 463.42
Acton: 0 | Reward: -0.150000
Steps Taken: 1 | Time Diff: 472.73
Acton: 0 | Reward: 0.850000
Steps Taken: 2 | Time Diff: 482.08
Acton: 0 | Reward: -0.150000
Steps Taken: 3 | Time Diff: 491.46
Acton: 0 | Reward: 0.850000
Steps Taken: 4 | Time Diff: 500.83
Acton: 0 | Reward: 0.850000
Steps Taken: 5 | Time Diff: 510.19
Acton: 0 | Reward: -0.150000
Steps Taken: 6 | Time Diff: 519.56
Acton: 0 | Reward: 0.850000
Steps Taken: 7 | Time Diff: 528.93
Acton: 0 | Reward: 0.850000
Steps Taken: 8 | Time Diff: 538.28
Acton: 0 | Reward: -0.150000
Steps Taken: 9 | Time Diff: 547.65
Acton: 0 | Reward: -0.150000
Steps Taken: 10 | Time Diff: 557.01
Acton: 0 | Reward: -0.150000
Steps Taken: 11 | Time Diff: 566.34
Acton: 0 | Reward: 0.850000
Steps Taken: 12 | Time Diff: 575.7
Acton: 0 | Reward: 0.850000
Steps Taken: 13 | Time Diff: 585.06
Acton: 0 | Reward: 0.850000
Steps Taken: 14 | Time Diff: 594.4
Acton: 0 | Reward: 0.850000
Steps Taken: 15 | Time Diff: 603.74
Acton: 0 | Reward: -0.150000
Steps Taken: 16 | Time Diff: 613.08
Acton: 0 | Reward: -0.150000
Steps Taken: 17 | Time Diff: 622.45
Acton: 0 | Reward: -0.150000
Steps Taken: 18 | Time Diff: 631.81
Acton: 0 | Reward: -0.150000
Steps Taken: 19 | Time Diff: 641.16
Acton: 0 | Reward: -0.150000
Steps Taken: 20 | Time Diff: 650.51
Acton: 0 | Reward: -0.150000
Steps Taken: 21 | Time Diff: 659.87
Acton: 0 | Reward: 0.850000
Steps Taken: 22 | Time Diff: 669.21
Acton: 0 | Reward: 0.850000
Steps Taken: 23 | Time Diff: 678.57
Acton: 0 | Reward: -0.150000
Steps Taken: 24 | Time Diff: 687.94
Acton: 0 | Reward: -0.150000
