SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 1 | Reward: 0.000000
Steps Taken: 1 | Time Diff: 6.73
Acton: 0 | Reward: 0.650000
Steps Taken: 2 | Time Diff: 16.32
Acton: 0 | Reward: 0.650000
Steps Taken: 3 | Time Diff: 25.91
Acton: 0 | Reward: -0.350000
Steps Taken: 4 | Time Diff: 35.5
Acton: 0 | Reward: -0.350000
Steps Taken: 5 | Time Diff: 45.08
Acton: 0 | Reward: 0.650000
Steps Taken: 6 | Time Diff: 54.67
Acton: 0 | Reward: 0.650000
Steps Taken: 7 | Time Diff: 64.25
Acton: 0 | Reward: 0.650000
Steps Taken: 8 | Time Diff: 73.86
Acton: 0 | Reward: -0.350000
Steps Taken: 9 | Time Diff: 83.45
Acton: 0 | Reward: -0.350000
Steps Taken: 10 | Time Diff: 93.04
Acton: 0 | Reward: 0.650000
Steps Taken: 11 | Time Diff: 102.64
Acton: 0 | Reward: -0.350000
Steps Taken: 12 | Time Diff: 112.25
Acton: 0 | Reward: 0.650000
Steps Taken: 13 | Time Diff: 121.83
Acton: 0 | Reward: -0.350000
Steps Taken: 14 | Time Diff: 131.43
Acton: 0 | Reward: -0.350000
Steps Taken: 15 | Time Diff: 141.03
Acton: 0 | Reward: 0.650000
Steps Taken: 16 | Time Diff: 150.63
Acton: 0 | Reward: -0.350000
Steps Taken: 17 | Time Diff: 160.27
Acton: 0 | Reward: -0.350000
Steps Taken: 18 | Time Diff: 169.87
Acton: 0 | Reward: 0.650000
Steps Taken: 19 | Time Diff: 179.47
Acton: 0 | Reward: -0.350000
Steps Taken: 20 | Time Diff: 189.06
Acton: 0 | Reward: -0.350000
Steps Taken: 21 | Time Diff: 198.64
Acton: 0 | Reward: -0.350000
Steps Taken: 22 | Time Diff: 208.23
Acton: 0 | Reward: 0.650000
Steps Taken: 23 | Time Diff: 217.82
Acton: 0 | Reward: 0.650000
Steps Taken: 24 | Time Diff: 227.43
Acton: 0 | Reward: -0.350000
Steps Taken: 25 | Time Diff: 237.04
Acton: 0 | Reward: -0.350000
Steps Taken: 26 | Time Diff: 246.63
Acton: 0 | Reward: 0.650000
Steps Taken: 27 | Time Diff: 256.22
Acton: 0 | Reward: -0.350000
Steps Taken: 28 | Time Diff: 265.81
Acton: 0 | Reward: 0.650000
Steps Taken: 29 | Time Diff: 275.41
Acton: 0 | Reward: -0.350000
Steps Taken: 30 | Time Diff: 285.0
Acton: 0 | Reward: -0.350000
Steps Taken: 31 | Time Diff: 291.4
Acton: 0 | Reward: -0.350000
Steps Taken: 32 | Time Diff: 295.83
Acton: 0 | Reward: -0.350000
Steps Taken: 33 | Time Diff: 303.95
Acton: 0 | Reward: 0.650000
Steps Taken: 34 | Time Diff: 308.81
Acton: 0 | Reward: 0.650000
Steps Taken: 35 | Time Diff: 313.87
Acton: 0 | Reward: 0.650000
Steps Taken: 36 | Time Diff: 319.99
Acton: 0 | Reward: -0.350000
Steps Taken: 37 | Time Diff: 325.1
Acton: 0 | Reward: -0.350000
Steps Taken: 38 | Time Diff: 334.68
Acton: 0 | Reward: -0.350000
Steps Taken: 39 | Time Diff: 344.27
Acton: 0 | Reward: -0.350000
Steps Taken: 40 | Time Diff: 353.86
Acton: 0 | Reward: 0.650000
Steps Taken: 41 | Time Diff: 363.21
Acton: 0 | Reward: 0.650000
Steps Taken: 42 | Time Diff: 371.07
Acton: 0 | Reward: -0.350000
Steps Taken: 43 | Time Diff: 375.44
Acton: 0 | Reward: 0.650000
Steps Taken: 44 | Time Diff: 384.37
Acton: 0 | Reward: 0.650000
Steps Taken: 45 | Time Diff: 393.5
Acton: 0 | Reward: -0.350000
Steps Taken: 46 | Time Diff: 398.51
Acton: 0 | Reward: -0.350000
Steps Taken: 47 | Time Diff: 407.29
Acton: 0 | Reward: 0.650000
Steps Taken: 48 | Time Diff: 411.72
Acton: 0 | Reward: -0.350000
Steps Taken: 49 | Time Diff: 416.15
Acton: 0 | Reward: -0.350000
Steps Taken: 50 | Time Diff: 420.59
Acton: 0 | Reward: 0.650000
Steps Taken: 1 | Time Diff: 425.02
Acton: 0 | Reward: -0.350000
Steps Taken: 2 | Time Diff: 429.47
Acton: 0 | Reward: 0.650000
Steps Taken: 3 | Time Diff: 435.08
Acton: 0 | Reward: 0.650000
Steps Taken: 4 | Time Diff: 444.56
Acton: 0 | Reward: -0.350000
Steps Taken: 5 | Time Diff: 454.0
Acton: 0 | Reward: 0.650000
Steps Taken: 6 | Time Diff: 463.37
Acton: 0 | Reward: 0.650000
