SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 5
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
COST: 0.750000
---------------------------
Steps Taken: 1 | Time Diff: 5.1
Steps Taken: 2 | Time Diff: 10.22
Steps Taken: 3 | Time Diff: 15.34
Steps Taken: 4 | Time Diff: 20.45
Steps Taken: 5 | Time Diff: 25.56
Steps Taken: 6 | Time Diff: 30.68
Steps Taken: 7 | Time Diff: 35.79
Steps Taken: 8 | Time Diff: 40.9
Steps Taken: 9 | Time Diff: 46.0
Steps Taken: 10 | Time Diff: 51.11
Steps Taken: 11 | Time Diff: 56.21
Steps Taken: 12 | Time Diff: 61.32
Steps Taken: 13 | Time Diff: 66.42
Steps Taken: 14 | Time Diff: 71.53
Steps Taken: 15 | Time Diff: 76.64
Steps Taken: 16 | Time Diff: 81.74
Steps Taken: 17 | Time Diff: 86.86
Steps Taken: 18 | Time Diff: 91.96
Steps Taken: 19 | Time Diff: 97.07
Steps Taken: 20 | Time Diff: 102.17
Steps Taken: 21 | Time Diff: 107.28
Steps Taken: 22 | Time Diff: 112.38
Steps Taken: 23 | Time Diff: 117.48
Steps Taken: 24 | Time Diff: 122.58
Steps Taken: 25 | Time Diff: 127.68
Steps Taken: 26 | Time Diff: 132.78
Steps Taken: 27 | Time Diff: 137.89
Steps Taken: 28 | Time Diff: 142.99
Steps Taken: 29 | Time Diff: 148.1
Steps Taken: 30 | Time Diff: 153.22
Steps Taken: 31 | Time Diff: 158.34
Steps Taken: 32 | Time Diff: 163.44
Steps Taken: 33 | Time Diff: 168.55
Steps Taken: 34 | Time Diff: 173.66
Steps Taken: 35 | Time Diff: 178.76
Steps Taken: 36 | Time Diff: 183.86
Steps Taken: 37 | Time Diff: 188.96
Steps Taken: 38 | Time Diff: 194.07
Steps Taken: 39 | Time Diff: 199.16
Steps Taken: 40 | Time Diff: 204.27
Steps Taken: 41 | Time Diff: 209.38
Steps Taken: 42 | Time Diff: 214.49
Steps Taken: 43 | Time Diff: 219.6
Steps Taken: 44 | Time Diff: 224.7
Steps Taken: 45 | Time Diff: 229.79
Steps Taken: 46 | Time Diff: 234.9
Steps Taken: 47 | Time Diff: 240.0
Steps Taken: 48 | Time Diff: 245.1
Steps Taken: 49 | Time Diff: 250.23
Steps Taken: 50 | Time Diff: 255.33
Steps Taken: 1 | Time Diff: 260.44
Steps Taken: 2 | Time Diff: 265.56
Steps Taken: 3 | Time Diff: 270.66
Steps Taken: 4 | Time Diff: 275.77
Steps Taken: 5 | Time Diff: 280.9
Steps Taken: 6 | Time Diff: 286.02
Steps Taken: 7 | Time Diff: 291.14
Steps Taken: 8 | Time Diff: 296.26
Steps Taken: 9 | Time Diff: 301.38
Steps Taken: 10 | Time Diff: 306.51
Steps Taken: 11 | Time Diff: 311.64
Steps Taken: 12 | Time Diff: 316.77
Steps Taken: 13 | Time Diff: 321.91
Steps Taken: 14 | Time Diff: 327.03
Steps Taken: 15 | Time Diff: 332.17
Steps Taken: 16 | Time Diff: 337.32
Steps Taken: 17 | Time Diff: 342.47
Steps Taken: 18 | Time Diff: 347.6
Steps Taken: 19 | Time Diff: 352.73
Steps Taken: 20 | Time Diff: 357.87
Steps Taken: 21 | Time Diff: 363.0
Steps Taken: 22 | Time Diff: 368.15
Steps Taken: 23 | Time Diff: 373.29
Steps Taken: 24 | Time Diff: 378.43
Steps Taken: 25 | Time Diff: 383.57
Steps Taken: 26 | Time Diff: 388.71
Steps Taken: 27 | Time Diff: 393.84
Steps Taken: 28 | Time Diff: 398.98
Steps Taken: 29 | Time Diff: 404.11
Steps Taken: 30 | Time Diff: 409.25
Steps Taken: 31 | Time Diff: 414.39
Steps Taken: 32 | Time Diff: 419.52
Steps Taken: 33 | Time Diff: 424.66
Steps Taken: 34 | Time Diff: 429.79
Steps Taken: 35 | Time Diff: 434.93
Steps Taken: 36 | Time Diff: 440.06
Steps Taken: 37 | Time Diff: 445.19
Steps Taken: 38 | Time Diff: 450.32
Steps Taken: 39 | Time Diff: 455.45
Steps Taken: 40 | Time Diff: 460.59
Steps Taken: 41 | Time Diff: 465.71
Steps Taken: 42 | Time Diff: 470.84
Steps Taken: 43 | Time Diff: 475.97
Steps Taken: 44 | Time Diff: 481.11
Steps Taken: 45 | Time Diff: 486.24
Steps Taken: 46 | Time Diff: 491.38
Steps Taken: 47 | Time Diff: 496.51
Steps Taken: 48 | Time Diff: 501.64
Steps Taken: 49 | Time Diff: 506.77
Steps Taken: 50 | Time Diff: 511.9
Steps Taken: 1 | Time Diff: 517.03
Steps Taken: 2 | Time Diff: 522.15
Steps Taken: 3 | Time Diff: 527.27
Steps Taken: 4 | Time Diff: 532.4
Steps Taken: 5 | Time Diff: 537.52
Steps Taken: 6 | Time Diff: 542.65
Steps Taken: 7 | Time Diff: 547.78
Steps Taken: 8 | Time Diff: 552.9
Steps Taken: 9 | Time Diff: 558.02
Steps Taken: 10 | Time Diff: 563.15
Steps Taken: 11 | Time Diff: 568.27
Steps Taken: 12 | Time Diff: 573.39
Steps Taken: 13 | Time Diff: 578.52
Steps Taken: 14 | Time Diff: 583.64
Steps Taken: 15 | Time Diff: 588.77
Steps Taken: 16 | Time Diff: 593.9
Steps Taken: 17 | Time Diff: 599.04
Steps Taken: 18 | Time Diff: 604.18
Steps Taken: 19 | Time Diff: 609.31
Steps Taken: 20 | Time Diff: 614.45
Steps Taken: 21 | Time Diff: 619.58
Steps Taken: 22 | Time Diff: 624.72
Steps Taken: 23 | Time Diff: 629.87
Steps Taken: 24 | Time Diff: 635.01
Steps Taken: 25 | Time Diff: 640.16
Steps Taken: 26 | Time Diff: 645.29
Steps Taken: 27 | Time Diff: 650.43
Steps Taken: 28 | Time Diff: 655.57
Steps Taken: 29 | Time Diff: 660.71
Steps Taken: 30 | Time Diff: 665.87
Steps Taken: 31 | Time Diff: 671.01
Steps Taken: 32 | Time Diff: 676.15
Steps Taken: 33 | Time Diff: 681.3
Steps Taken: 34 | Time Diff: 686.43
Steps Taken: 35 | Time Diff: 691.59
Steps Taken: 36 | Time Diff: 696.74
Steps Taken: 37 | Time Diff: 701.88
Steps Taken: 38 | Time Diff: 707.02
Steps Taken: 39 | Time Diff: 712.17
Steps Taken: 40 | Time Diff: 717.32
Steps Taken: 41 | Time Diff: 722.47
Steps Taken: 42 | Time Diff: 727.61
Steps Taken: 43 | Time Diff: 732.75
Steps Taken: 44 | Time Diff: 737.89
Steps Taken: 45 | Time Diff: 743.04
Steps Taken: 46 | Time Diff: 748.19
Steps Taken: 47 | Time Diff: 753.33
Steps Taken: 48 | Time Diff: 758.46
Steps Taken: 49 | Time Diff: 763.59
Steps Taken: 50 | Time Diff: 768.73
Steps Taken: 1 | Time Diff: 773.85
Steps Taken: 2 | Time Diff: 778.97
Steps Taken: 3 | Time Diff: 784.08
Steps Taken: 4 | Time Diff: 789.19
Steps Taken: 5 | Time Diff: 794.31
Steps Taken: 6 | Time Diff: 799.44
Steps Taken: 7 | Time Diff: 804.56
Steps Taken: 8 | Time Diff: 809.68
Steps Taken: 9 | Time Diff: 814.8
Steps Taken: 10 | Time Diff: 819.92
Steps Taken: 11 | Time Diff: 825.05
Steps Taken: 12 | Time Diff: 830.17
Steps Taken: 13 | Time Diff: 835.28
Steps Taken: 14 | Time Diff: 840.4
Steps Taken: 15 | Time Diff: 845.52
Steps Taken: 16 | Time Diff: 850.64
Steps Taken: 17 | Time Diff: 855.75
Steps Taken: 18 | Time Diff: 860.88
Steps Taken: 19 | Time Diff: 866.0
Steps Taken: 20 | Time Diff: 871.12
Steps Taken: 21 | Time Diff: 876.23
Steps Taken: 22 | Time Diff: 881.37
Steps Taken: 23 | Time Diff: 886.48
Steps Taken: 24 | Time Diff: 891.61
Steps Taken: 25 | Time Diff: 896.72
Steps Taken: 26 | Time Diff: 901.83
Steps Taken: 27 | Time Diff: 906.95
Steps Taken: 28 | Time Diff: 912.06
Steps Taken: 29 | Time Diff: 917.18
Steps Taken: 30 | Time Diff: 922.29
Steps Taken: 31 | Time Diff: 927.41
Steps Taken: 32 | Time Diff: 932.53
Steps Taken: 33 | Time Diff: 937.66
